funding_total_usd,funding_rounds,years_since_founded,years_since_last_funding,domain_clean,status_failed
700000.0,2,12.0,12,application platforms|real time|social network media,0
2000000.0,1,19.0,18,curated web,0
2000000.0,1,16.0,12,SaaS,0
762851.0,2,29.0,17,biotechnology,0
33600000.0,4,15.0,11,analytics,0
1150050.0,3,15.0,12,mobile,0
40000.0,1,14.0,13,e-commerce,0
2000000.0,1,13.0,12,networking|real estate|web hosting,0
2000000.0,1,40.0,16,HealthTech,0
1750000.0,1,42.0,15,HealthTech,0
6000000.0,1,13.0,11,MarTech,0
5000000.0,1,14.0,11,SaaS,0
100000.0,1,12.0,12,AI,0
2050000.0,4,25.0,15,e-commerce,0
4400000.0,2,13.0,12,EdTech,0
40000.0,1,18.0,15,search,0
500000.0,1,17.0,17,art|e-commerce|marketplaces,0
43923865.0,1,18.0,16,mobile,0
2000000.0,1,18.0,13,beauty,0
2535000.0,2,16.0,15,curated web,0
6795451.0,9,18.0,11,curated web,0
10661772.8991108,5,16.0,11,local businesses|restaurants,0
8900000.0,1,14.0,11,cosmetics|marketplaces,0
10000000.0,3,17.0,12,games|media,0
4000000.0,2,12.0,11,HealthTech,0
1250000.0,2,15.0,15,analytics,0
35000000.0,1,26.0,16,SaaS,0
2000000.0,2,14.0,12,MarTech,0
50000.0,1,17.0,17,curated web,1
100000.0,1,11.0,11,coffee|delivery|subscription service,0
1600000.0,2,13.0,12,e-commerce|mobile commerce|social commerce,0
100000.0,1,17.0,16,SaaS,0
2000000.0,2,14.0,12,ios|mobile|music,0
55000000.0,1,14.0,11,biotechnology|technology,0
3550000.0,2,14.0,11,biotechnology,0
77500.0,1,16.0,15,SaaS,0
2000000.0,1,13.0,12,fashion,0
20000000.0,1,15.0,12,social travel,0
935000.0,1,12.0,12,HealthTech,0
2000000.0,1,13.0,13,sports,0
2000000.0,1,13.0,12,sports,0
2000000.0,1,15.0,12,real estate,0
440000.0,3,14.0,13,audio|mobile|music,0
794000.0,6,15.0,12,HealthTech,0
650267.0,2,14.0,13,EdTech,0
1000000.0,2,18.0,11,SaaS,0
5400000.0,1,29.0,11,internet,0
2000000.0,1,19.0,18,SaaS,0
378812.0,1,13.0,12,SaaS,0
11999347.0,1,12.0,12,service providers|technology,0
130636.0,1,18.0,14,publishing|services,0
619494.0,1,16.0,14,AI,0
2000000.0,1,14.0,14,e-commerce,0
71450000.0,9,19.0,11,manufacturing,0
700000.0,1,16.0,14,augmented reality|computer vision|games|ipad|mobile,0
5500000.0,2,16.0,15,advertising|big data analytics|interest graph,0
500000.0,1,16.0,16,AI,0
2000000.0,1,14.0,11,FinTech,0
3400000.0,3,15.0,12,SaaS,0
200000.0,1,15.0,15,games,0
2000000.0,1,12.0,12,fashion,0
199957.0,1,20.0,17,SaaS,0
50000.0,1,17.0,17,AI,1
2000000.0,1,13.0,12,design|development platforms|wearables,0
16000000.0,1,15.0,11,public transportation,0
14000000.0,1,36.0,24,SaaS,0
5250000.0,2,12.0,11,internet,0
84440319.0,3,22.0,12,travel,0
135000000.0,5,19.0,11,EdTech,0
9478511.0,3,21.0,13,FinTech,0
2000000.0,1,20.0,18,cars|curated web,1
5000000.0,1,18.0,16,clean technology|residential solar,1
200000000.0,1,35.0,15,SaaS,1
40000.0,1,17.0,18,EdTech,0
2000000.0,1,20.0,18,content|lifestyle|news|video,1
2000000.0,1,14.0,12,chat|mobile,0
2000000.0,1,14.0,13,SaaS,0
2500000.0,1,13.0,11,HealthTech,0
2000000.0,1,14.0,13,music services,0
43811.0,2,17.0,17,curated web|tracking,1
50000.0,1,18.0,18,HealthTech,1
37639.0,1,13.0,12,HealthTech,0
1700000.0,2,15.0,11,HealthTech,0
1450000.0,1,16.0,13,SaaS,0
2100000.0,3,13.0,11,HealthTech,0
212000.0,2,13.0,11,mobile|mobile devices|mobile security|security|tablets,0
30000000.0,1,24.0,13,HealthTech,0
500000.0,1,15.0,13,social media,0
761234.47320427,4,13.0,11,AI,0
2000000.0,1,14.0,13,content|distribution|film|marketplaces|monetization|photography|video|video on demand,0
2000000.0,1,17.0,15,MarTech,0
156000.0,2,13.0,13,SaaS,0
30000.0,1,15.0,15,manufacturing,0
2000000.0,1,14.0,14,landscaping|services,0
10000000.0,1,19.0,12,FinTech,0
117000000.0,5,25.0,11,e-commerce,0
750000.0,1,17.0,14,e-commerce,0
4000000.0,3,15.0,11,SaaS,0
1660000.0,1,26.0,18,games,0
58000.0,1,15.0,14,AI,0
204189.0,1,16.0,12,HealthTech,0
41250.0,1,15.0,12,MarTech,0
4345427.0,3,26.0,11,HealthTech,0
29750000.0,1,20.0,18,mobile,0
51507046.0,7,18.0,11,news,0
1236454.0,3,14.0,12,EdTech,0
2800000.0,2,19.0,16,art|e-commerce|social commerce,0
50000.0,2,15.0,13,MarTech,1
1464128.0,1,22.0,16,delivery|hospitality|manufacturing,0
6369507.0,1,14.0,14,e-commerce,0
121050000.0,2,13.0,11,SaaS,0
225081113.04000014,5,17.0,12,SaaS,0
15034750.0,6,28.0,12,biotechnology,0
250000.0,1,16.0,13,SaaS,1
1610541.0,2,21.0,16,SaaS,0
615000.0,1,17.0,15,mobile,0
225081113.04000014,8,20.0,11,biotechnology|search,0
50000.0,1,15.0,15,SaaS,0
2000000.0,1,26.0,23,SaaS,0
2000000.0,1,12.0,12,sports,0
4000000.0,1,25.0,19,EdTech,0
500000.0,1,19.0,17,SaaS,0
400000.0,1,19.0,12,AI,0
2000000.0,1,20.0,20,MarTech,1
2000000.0,1,17.0,11,internet,0
16000000.0,1,16.0,16,clean technology,0
2000000.0,1,13.0,12,AI,0
50000.0,1,16.0,15,SaaS,1
2942768.88931116,3,16.0,13,SaaS,0
300000.0,2,14.0,12,SaaS,0
2000000.0,1,22.0,22,SaaS,0
2000000.0,1,15.0,14,SaaS,0
118000.0,1,14.0,14,FinTech,1
5844811.0,1,18.0,13,SaaS,0
2000000.0,1,20.0,18,SaaS,0
10000000.0,3,23.0,11,FinTech,0
8300000.0,3,14.0,11,credit cards|mobile,0
6785876.0,1,18.0,16,SaaS,0
72000000.0,2,27.0,11,e-commerce,0
2000000.0,1,18.0,18,SaaS,0
383000.0,2,16.0,14,SaaS,0
165000000.0,1,17.0,13,mobile,0
275000.0,1,18.0,16,SaaS,0
33457.0,1,16.0,16,AI,0
966728.0,2,15.0,14,curated web,0
4000000.0,1,15.0,11,SaaS,0
300000.0,2,14.0,11,HealthTech,0
2000000.0,1,11.0,11,HealthTech,0
85000000.0,1,28.0,21,SaaS,0
37644420.0,4,16.0,12,SaaS,0
20000.0,1,22.0,13,landscaping|natural resources,0
6000.0,1,13.0,12,advertising|media,0
3167062.0,1,27.0,24,SaaS,1
2300000.0,1,16.0,12,curated web|online dating|social network media,0
2000000.0,1,15.0,13,hospitality,0
300000.0,2,22.0,18,art|beauty|fashion|lifestyle|music|social media|social network media,0
95875000.0,6,18.0,13,SaaS,0
80000.0,1,14.0,15,e-commerce|navigation|tourism,0
2000000.0,1,42.0,28,AI,0
2000000.0,1,14.0,13,energy|energy efficiency|solar,0
128477567.0,7,19.0,11,biotechnology,0
25000.0,1,13.0,13,FinTech,0
2000000.0,1,13.0,13,transportation,0
500000.0,1,13.0,12,FinTech,0
2274716.0,1,14.0,12,e-commerce|wine and spirits,0
2000000.0,1,12.0,11,FinTech,0
2000000.0,1,16.0,16,AI,0
25654560.0,5,19.0,14,advertising|advertising platforms|content discovery|internet|social media|social media platforms|social network media,0
20000.0,1,11.0,11,internet,0
2000000.0,1,19.0,19,curated web|maps|photography|virtual worlds,0
17800000.0,1,28.0,12,SaaS,0
5000000.0,1,26.0,17,biotechnology|life sciences|media|news|pharmaceuticals,0
1000000.0,2,21.0,13,biotechnology|dental,0
7650000.0,1,18.0,13,SaaS,0
1543920.0,1,16.0,13,AI,0
23000000.0,3,20.0,18,internet|social media|social network media,0
2000000.0,1,26.0,14,FinTech,0
16000000.0,1,14.0,12,data centers|information technology|internet|services,0
2000000.0,1,13.0,12,AI,0
2000000.0,3,17.0,11,SaaS,0
609229.0,4,15.0,14,AI,0
6700000.0,2,18.0,12,android|apps|iphone|mobile|sports,0
1573976.0,3,27.0,11,blogging platforms|internet|public relations|social media|startups,0
525000.0,2,12.0,12,bitcoin,0
1629549.0,1,13.0,12,mobile,0
2000000.0,1,27.0,20,SaaS,0
1600000.0,1,16.0,14,mobile,0
1719583.0,2,15.0,12,networking|online travel|travel,0
6000000.0,1,21.0,15,MarTech,0
75000.0,1,13.0,13,SaaS,0
133620.0,1,18.0,15,biotechnology,0
35000.0,1,11.0,11,babies|big data analytics|e-commerce|fashion|kids,0
500000.0,2,16.0,15,HealthTech,1
9311190.0,4,21.0,11,SaaS,0
7289000.0,3,16.0,14,SaaS,0
750000.0,1,14.0,12,3d|3d technology|events,0
1465000.0,2,16.0,13,biotechnology,0
2000000.0,1,13.0,13,SaaS,0
500000.0,2,13.0,11,3d technology|sensors,0
503000.0,2,15.0,13,games,1
350000.0,1,13.0,11,photography|video,0
4500000.0,2,13.0,12,3d printing|collaborative consumption|local|marketplaces,0
1200000.0,2,14.0,13,AI,0
7500.0,1,12.0,12,HealthTech,0
240000.0,2,13.0,12,E-Commerce,0
99000000.0,4,17.0,11,drones|manufacturing,0
1168005.0,1,12.0,11,SaaS,0
909940.0,3,16.0,13,SaaS,0
169500000.0,3,40.0,12,SaaS,0
150000.0,1,17.0,14,SaaS,0
16399999.0,1,22.0,11,HealthTech,0
400000.0,1,17.0,12,e-commerce,0
2000000.0,1,17.0,17,technology,0
1250000.0,1,29.0,16,e-commerce,0
1880000.0,4,14.0,11,HealthTech,0
1150000.0,2,12.0,11,3d printing|manufacturing,0
2000000.0,1,13.0,12,automotive,0
2670000.0,2,15.0,14,SaaS,0
530000.0,1,14.0,12,AI,0
30000.0,1,12.0,12,3d printing|3d technology|printing,0
732064.0,1,25.0,16,games|video,0
3000.0,1,15.0,11,printing,0
204952.0,1,13.0,12,creative|digital media,1
220000.0,1,13.0,12,3d|3d printing|internet|manufacturing,0
2065000.0,2,20.0,16,3d|mobile,0
140000.0,1,12.0,12,FinTech,0
1387500.0,2,17.0,11,AI,0
2000000.0,1,13.0,13,SaaS,0
1700000.0,2,17.0,14,MarTech,0
2249999.0,2,14.0,12,SaaS,0
20000000.0,1,23.0,20,music,0
746185.0,2,21.0,19,mobile,0
13708150.0,3,20.0,16,semiconductors,1
4000000.0,1,21.0,19,messaging|sms,0
2000000.0,1,19.0,17,SaaS,0
65000000.0,3,22.0,18,web hosting,0
1500000.0,1,16.0,16,android|enterprises|mobile,0
500000.0,2,12.0,11,ios|location based services|mobile|online dating|social media,0
148000000.0,3,27.0,22,SaaS,0
25920000.0,4,20.0,13,SaaS,0
1011601.0,3,19.0,15,SaaS,0
1500000.0,2,16.0,14,curated web|tourism|travel,0
1394250.0,1,21.0,18,mobile,0
5000000.0,2,19.0,13,SaaS,0
7063012.0,4,15.0,12,biotechnology,0
2000000.0,1,18.0,15,SaaS,0
13000000.0,1,55.0,24,physical security|security,0
2000000.0,2,14.0,12,consulting|freelancers|human resources|recruiting|search|social commerce,0
15152514.0,1,19.0,12,clean technology,0
1670000.0,1,13.0,11,SaaS,0
15000000.0,3,27.0,16,clean technology,0
272000.0,1,23.0,19,SaaS,1
50958896.6114209,2,22.0,13,AI,0
64567194.0,7,24.0,11,security,0
3393925.0,2,19.0,16,flash storage|security,0
2000000.0,1,13.0,11,mobile|wireless,0
2374979.0,6,17.0,11,e-commerce,0
1000.0,1,13.0,12,networking|web hosting,0
6246800.0,2,29.0,26,SaaS,0
81000.0,1,12.0,12,machine learning|network security,0
1050000.0,3,18.0,16,FinTech,0
750000.0,1,16.0,15,messaging,0
38064570.0,4,22.0,14,security,0
2000000.0,2,13.0,12,SaaS,0
1000000.0,1,22.0,16,SaaS,0
